ID	Family	Species_Name	Lineage	SRA_RunIDs
ILU1	Nyctaginaceae	Anulocaulis_leiosolenus_var_gypsogenus	B3	SRR1593521
ScgloSFB	Caryophyllaceae	Schiedea_nuttallii	A	SRR7866821
Rhno	Polygonaceae	Rheum_rhomboideum	A	SRR9110572,SRR9110573
Hg1011	Caryophyllaceae	Herniaria_glabra	A	SRR6435299
SFB31	Phytolaccaceae	Phytolacca_dioica	B3	SRR1979683
BKQU	Phytolaccaceae	Phytolacca_americana	B3	ERR2040252,SRR3137251,SRR3137611,SRR3137615,SRR3137622,SRR3137627,SRR3137656,SRR5493819,SRR6997039,SRR6997040,SRR9087225,SRR9087226,SRR9087227,SRR9087228,SRR9087229,SRR9087230,SRR9087231,SRR9087232,SRR9087233,SRR9087234,SRR9087235,SRR9087236,SRR9087237,SRR9087238,SRR9087239,SRR9087240,SRR9087241,SRR9087242,SRR9087243,SRR9087244,SRR9087245,SRR9087246,SRR9087247,SRR9087248
LDEL	Portulacaceae	Portulaca_amilis	B4	ERR2040261,ERR2040262
Opst	Cactaceae	Opuntia_polyacantha	B4	ERR2040228
YY4JB	Droseraceae	Drosera_burmannii	A	SRR6435309
JBGU	Amaranthaceae	Amaranthus_palmeri	B2	ERR2040204,SRR5759376,SRR5759377,SRR5759378,SRR5759379,SRR5759380,SRR5759381,SRR5759382,SRR5759383,SRR5759384,SRR5759385,SRR5759386,SRR5759387
SMMC	Amaranthaceae	Chenopodium_suecicum	B2	SRR4425601,SRR4425602,SRR4425603,SRR4425604
ScgloSFB	Caryophyllaceae	Schiedea_trinervis	A	SRR7866849
WOBD	Plumbaginaceae	Limonium_spectabile	A	ERR2040258
MJM2202	Nyctaginaceae	Boerhavia_torreyana	B3	SRR6787485
CTYH	Basellaceae	Basella_alba	B4	ERR2040225
HDSY	Amaranthaceae	Aerva_persica	B2	ERR2040202,ERR2040203
GliloSFB	Molluginaceae	Glinus_lotoides	A	SRR7905844
ScgloSFB	Caryophyllaceae	Schiedea_ligustrina	A	SRR7866820
Fata	Polygonaceae	Fagopyrum_tataricum	A	DRR008470,SRR1460477,SRR1552100,SRR1552101,SRR1552203,SRR1552215,SRR1552217,SRR1552218,SRR3250238,SRR5006764,SRR5006765,SRR5006766,SRR5006767,SRR5006768,SRR5006769,SRR5006770,SRR5006771,SRR5006772,SRR5433730,SRR5433731,SRR5433732,SRR5433733,SRR5433734,SRR5494827,SRR5494830,SRR6068977,SRR6068978,SRR6156118,SRR6156119,SRR6156120,SRR6156121,SRR6260196,SRR6260197,SRR6260198,SRR6294888,SRR6294889,SRR6294890,SRR6294891,SRR6294892,SRR6294893,SRR6294894,SRR6294895,SRR6847695,SRR6847696,SRR6847697,SRR6847698,SRR6847699,SRR6847700,SRR6847701,SRR6847702,SRR6847703,SRR7042950,SRR7042951,SRR7042952,SRR7042953,SRR7042954,SRR7042955,SRR7042956,SRR7042957,SRR7042958,SRR7042959,SRR7042960,SRR7042961,SRR7042962,SRR7687371,SRR7687372,SRR7687373,SRR7687374,SRR7687375,SRR7687376,SRR7687377,SRR7687378,SRR7687379,SRR7687380,SRR7687381,SRR7687382,SRR8413948,SRR8413949,SRR8413950,SRR8413951,SRR8413952,SRR8413953,SRR8413954,SRR8413955,SRR8413956,SRR8413957,SRR8413958,SRR8413959,SRR8988138,SRR8988139,SRR8988140,SRR8988141,SRR8988142,SRR8988143
Rhno	Polygonaceae	Rheum_tanguticum	A	SRR4308640,SRR4309588
MJM3179	Polygonaceae	Eriogonum_callistum	A	SRR6435325
MJM3227	Polygonaceae	Eriogonum_inflatum	A	SRR6435283
Erwa30	Cactaceae	Eriosyce_wagenknechtii	B4	SRR7905831
Sufr	Amaranthaceae	Suaeda_microphylla	B2	SRR6702197
Sufr	Amaranthaceae	Suaeda_acuminata	B2	SRR6702205
NCQS	Cactaceae	Pachycereus_pringlei	B4	SRR6159188,SRR6159189,SRR6159190,SRR6159191,SRR6159192,SRR6159193
